"Date Time, GMT+00:00","Rain, in (LGR S/N: 10548977, SEN S/N: 10550045)","Temp, °F (LGR S/N: 10548977, SEN S/N: 10553808)",Temp °C,"Water Content, m³/m³ (LGR S/N: 10548977, SEN S/N: 20014024)"
7/2/2017 5:54,0,66.558,19.19888889,0.3361
7/2/2017 5:59,0,66.472,19.15111111,0.3357
7/2/2017 6:04,0,66.6,19.22222222,0.3361
7/2/2017 6:09,0,66.344,19.08,0.3361
7/2/2017 6:14,0,66.258,19.03222222,0.3357
7/2/2017 6:19,0,66.515,19.175,0.3357
7/2/2017 6:24,0,66.558,19.19888889,0.3357
7/2/2017 6:29,0,66.472,19.15111111,0.3357
7/2/2017 6:34,0,66.258,19.03222222,0.3357
7/2/2017 6:39,0,66.214,19.00777778,0.3357
7/2/2017 6:44,0,66.13,18.96111111,0.3357
7/2/2017 6:49,0,65.916,18.84222222,0.3357
7/2/2017 6:54,0,65.658,18.69888889,0.3357
7/2/2017 6:59,0,65.658,18.69888889,0.3357
7/2/2017 7:04,0,65.872,18.81777778,0.3357
7/2/2017 7:09,0,65.615,18.675,0.3357
7/2/2017 7:14,0,65.615,18.675,0.3357
7/2/2017 7:19,0,65.53,18.62777778,0.3352
7/2/2017 7:24,0,65.487,18.60388889,0.3357
7/2/2017 7:29,0,65.615,18.675,0.3357
7/2/2017 7:34,0,65.574,18.65222222,0.3352
7/2/2017 7:39,0,65.487,18.60388889,0.3352
7/2/2017 7:44,0,65.23,18.46111111,0.3352
7/2/2017 7:49,0,65.403,18.55722222,0.3357
7/2/2017 7:54,0,65.403,18.55722222,0.3352
7/2/2017 7:59,0,65.23,18.46111111,0.3352
7/2/2017 8:04,0,65.23,18.46111111,0.3357
7/2/2017 8:09,0,65.23,18.46111111,0.3357
7/2/2017 8:14,0,64.931,18.295,0.3352
7/2/2017 8:19,0,64.931,18.295,0.3352
7/2/2017 8:24,0,64.717,18.17611111,0.3352
7/2/2017 8:29,0,64.888,18.27111111,0.3352
7/2/2017 8:34,0,64.803,18.22388889,0.3352
7/2/2017 8:39,0,64.375,17.98611111,0.3352
7/2/2017 8:44,0,64.161,17.86722222,0.3352
7/2/2017 8:49,0,64.074,17.81888889,0.3352
7/2/2017 8:54,0,64.288,17.93777778,0.3352
7/2/2017 8:59,0,64.332,17.96222222,0.3352
7/2/2017 9:04,0,64.033,17.79611111,0.3352
7/2/2017 9:09,0,63.99,17.77222222,0.3352
7/2/2017 9:14,0,63.732,17.62888889,0.3352
7/2/2017 9:19,0,63.732,17.62888889,0.3348
7/2/2017 9:24,0,63.819,17.67722222,0.3352
7/2/2017 9:29,0,64.074,17.81888889,0.3352
7/2/2017 9:34,0,63.862,17.70111111,0.3352
7/2/2017 9:39,0,63.775,17.65277778,0.3352
7/2/2017 9:44,0,63.903,17.72388889,0.3352
7/2/2017 9:49,0,64.074,17.81888889,0.3352
